<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.04.17	08:30:00	4784.493	4788.259	4784.321	4786.449	581	0	280
2026.04.17	08:35:00	4786.379	4789.722	4785.644	4789.160	449	0	280
2026.04.17	08:40:00	4789.140	4796.625	4788.055	4796.625	811	0	280
2026.04.17	08:45:00	4796.580	4796.755	4791.580	4793.447	621	0	280
2026.04.17	08:50:00	4793.448	4794.759	4790.988	4793.194	646	0	280
2026.04.17	08:55:00	4793.451	4796.405	4792.012	4795.737	530	0	280
2026.04.17	09:00:00	4795.678	4800.954	4795.664	4798.943	709	0	280
2026.04.17	09:05:00	4798.862	4799.048	4794.648	4796.060	636	0	280
2026.04.17	09:10:00	4796.008	4796.165	4792.745	4793.127	487	0	280
2026.04.17	09:15:00	4793.185	4795.548	4792.100	4795.443	477	0	280
2026.04.17	09:20:00	4795.440	4798.162	4794.506	4794.527	528	0	280
2026.04.17	09:25:00	4794.438	4798.170	4794.438	4795.980	634	0	280
2026.04.17	09:30:00	4795.674	4796.999	4794.095	4796.864	708	0	280
2026.04.17	09:35:00	4796.889	4798.910	4794.675	4795.475	583	0	280
2026.04.17	09:40:00	4795.487	4796.430	4794.012	4794.570	453	0	280
2026.04.17	09:45:00	4794.384	4795.074	4790.592	4792.018	601	0	280
2026.04.17	09:50:00	4791.943	4792.747	4790.627	4791.864	562	0	280
2026.04.17	09:55:00	4791.850	4792.617	4790.018	4790.433	425	0	280
2026.04.17	10:00:00	4790.491	4791.980	4789.015	4791.219	620	0	280
2026.04.17	10:05:00	4790.927	4791.517	4788.697	4789.160	450	0	280
2026.04.17	10:10:00	4789.148	4791.765	4787.082	4791.309	548	0	280
2026.04.17	10:15:00	4791.270	4793.959	4790.484	4791.557	501	0	280
2026.04.17	10:20:00	4791.606	4793.843	4790.834	4792.449	458	0	280
2026.04.17	10:25:00	4792.675	4792.718	4788.571	4789.642	464	0	280
2026.04.17	10:30:00	4789.650	4789.888	4786.379	4787.917	511	0	280
2026.04.17	10:35:00	4788.267	4789.097	4785.557	4785.680	479	0	280
2026.04.17	10:40:00	4785.686	4785.753	4782.246	4785.019	627	0	280
2026.04.17	10:45:00	4785.040	4787.691	4784.146	4787.652	568	0	280
2026.04.17	10:50:00	4787.604	4788.068	4782.162	4786.251	727	0	280
2026.04.17	10:55:00	4786.026	4787.669	4783.961	4787.196	501	0	280
2026.04.17	11:00:00	4787.256	4789.639	4783.297	4785.193	669	0	280
2026.04.17	11:05:00	4785.321	4787.243	4783.887	4787.039	474	0	280
2026.04.17	11:10:00	4786.979	4788.258	4785.432	4786.345	431	0	280
2026.04.17	11:15:00	4786.159	4787.121	4784.430	4785.805	468	0	280
2026.04.17	11:20:00	4785.730	4790.737	4784.916	4790.504	514	0	280
2026.04.17	11:25:00	4790.499	4793.117	4790.129	4792.678	542	0	280
2026.04.17	11:30:00	4792.899	4793.944	4789.628	4793.119	541	0	280
2026.04.17	11:35:00	4793.388	4794.377	4790.707	4792.354	517	0	280
2026.04.17	11:40:00	4792.345	4798.596	4792.145	4798.398	513	0	280
2026.04.17	11:45:00	4798.456	4811.712	4798.456	4805.804	1621	0	280
2026.04.17	11:50:00	4805.767	4806.717	4801.170	4801.170	915	0	280
2026.04.17	11:55:00	4801.491	4801.842	4798.731	4799.193	776	0	280
2026.04.17	12:00:00	4799.258	4805.511	4797.573	4803.756	966	0	280
2026.04.17	12:05:00	4803.789	4805.175	4802.201	4803.872	641	0	280
2026.04.17	12:10:00	4803.863	4804.545	4800.863	4803.686	614	0	280
2026.04.17	12:15:00	4803.690	4806.099	4802.948	4805.650	477	0	280
2026.04.17	12:20:00	4805.961	4812.408	4804.491	4812.079	1117	0	280
2026.04.17	12:25:00	4812.300	4819.434	4811.503	4816.840	2586	0	280
2026.04.17	12:30:00	4816.705	4822.088	4815.266	4817.526	1555	0	280
2026.04.17	12:35:00	4817.561	4823.423	4817.203	4822.461	1343	0	280
2026.04.17	12:40:00	4822.753	4825.009	4821.247	4823.103	1266	0	280
2026.04.17	12:45:00	4823.168	4842.811	4821.672	4836.229	4526	0	280
2026.04.17	12:50:00	4836.466	4845.259	4833.241	4842.972	4546	0	360
2026.04.17	12:55:00	4843.291	4847.680	4839.539	4846.427	2773	0	280
2026.04.17	13:00:00	4846.153	4847.478	4834.695	4844.042	3791	0	360
2026.04.17	13:05:00	4844.138	4863.435	4840.256	4862.563	3510	0	360
2026.04.17	13:10:00	4862.504	4889.686	4861.752	4882.990	4804	0	360
2026.04.17	13:15:00	4883.088	4883.642	4862.543	4864.158	3674	0	360
2026.04.17	13:20:00	4864.222	4864.347	4851.023	4861.321	3257	0	360
2026.04.17	13:25:00	4861.464	4863.988	4850.220	4851.422	4124	0	308
