<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.09.22	19:00:00	3747.608	3748.793	3742.433	3747.626	6322	0	160
2025.09.22	20:00:00	3747.592	3748.621	3745.480	3746.967	3646	0	160
2025.09.22	22:00:00	3746.503	3747.717	3738.273	3739.950	4613	0	160
2025.09.22	23:00:00	3740.037	3749.254	3738.959	3747.763	6935	0	160
2025.09.23	00:00:00	3747.797	3750.774	3744.867	3747.112	7609	0	160
2025.09.23	01:00:00	3747.167	3759.305	3745.665	3754.576	16003	0	160
2025.09.23	02:00:00	3754.615	3755.467	3736.722	3741.719	16377	0	160
2025.09.23	03:00:00	3741.680	3747.144	3739.004	3746.477	8647	0	160
2025.09.23	04:00:00	3746.489	3747.519	3743.065	3744.761	5804	0	160
2025.09.23	05:00:00	3744.725	3758.769	3743.229	3753.178	9256	0	160
2025.09.23	06:00:00	3753.145	3757.453	3751.287	3753.941	10998	0	160
2025.09.23	07:00:00	3753.912	3757.423	3748.896	3753.435	10191	0	160
2025.09.23	08:00:00	3753.329	3775.166	3752.965	3774.227	11836	0	160
2025.09.23	09:00:00	3774.281	3791.084	3774.182	3784.793	16065	0	160
2025.09.23	10:00:00	3784.839	3787.865	3780.824	3783.005	9166	0	160
2025.09.23	11:00:00	3783.030	3788.811	3779.670	3783.475	11311	0	160
2025.09.23	12:00:00	3783.520	3785.427	3777.352	3784.309	12785	0	160
2025.09.23	13:00:00	3784.345	3788.815	3774.265	3783.925	22796	0	160
2025.09.23	14:00:00	3783.870	3784.981	3767.654	3773.966	21399	0	160
2025.09.23	15:00:00	3774.005	3782.021	3772.771	3779.338	11416	0	160
2025.09.23	16:00:00	3779.382	3781.985	3765.035	3779.265	16108	0	160
2025.09.23	17:00:00	3779.283	3785.704	3775.704	3777.396	11943	0	160
2025.09.23	18:00:00	3777.436	3781.394	3756.209	3756.775	13733	0	160
2025.09.23	19:00:00	3756.735	3768.193	3751.856	3764.280	20455	0	160
2025.09.23	20:00:00	3764.251	3767.424	3762.489	3763.891	4987	0	160
2025.09.23	22:00:00	3766.672	3767.597	3761.561	3765.394	3626	0	160
2025.09.23	23:00:00	3765.456	3770.177	3761.894	3763.836	6196	0	160
2025.09.24	00:00:00	3763.822	3765.622	3758.844	3765.198	8642	0	160
2025.09.24	01:00:00	3765.207	3771.839	3755.015	3756.596	16569	0	160
2025.09.24	02:00:00	3756.557	3759.299	3750.597	3757.101	9584	0	160
2025.09.24	03:00:00	3757.125	3766.549	3752.271	3765.454	8641	0	160
2025.09.24	04:00:00	3765.422	3768.320	3763.218	3768.212	6062	0	160
2025.09.24	05:00:00	3768.166	3777.039	3767.834	3774.914	7835	0	160
2025.09.24	06:00:00	3774.956	3776.114	3769.045	3771.182	9267	0	160
2025.09.24	07:00:00	3771.250	3779.257	3770.622	3777.358	8184	0	160
2025.09.24	08:00:00	3777.391	3777.750	3766.964	3770.132	7599	0	160
2025.09.24	09:00:00	3770.069	3771.778	3763.090	3768.526	7758	0	160
2025.09.24	10:00:00	3768.413	3768.735	3759.764	3762.156	7711	0	160
2025.09.24	11:00:00	3762.189	3769.545	3759.629	3768.903	7453	0	160
2025.09.24	12:00:00	3768.958	3771.475	3763.928	3768.024	12514	0	160
2025.09.24	13:00:00	3767.999	3773.015	3759.055	3761.311	18247	0	160
2025.09.24	14:00:00	3761.319	3765.055	3749.359	3752.737	21259	0	160
2025.09.24	15:00:00	3752.763	3756.584	3739.614	3741.114	17037	0	160
2025.09.24	16:00:00	3741.151	3745.225	3732.199	3735.747	16208	0	160
2025.09.24	17:00:00	3735.778	3738.757	3732.317	3733.228	8727	0	160
2025.09.24	18:00:00	3733.186	3733.976	3722.702	3724.381	8986	0	160
2025.09.24	19:00:00	3724.406	3731.888	3717.427	3730.032	10209	0	160
2025.09.24	20:00:00	3730.098	3737.499	3729.941	3736.431	3866	0	160
2025.09.24	22:00:00	3739.494	3745.319	3738.898	3741.040	5043	0	160
2025.09.24	23:00:00	3741.022	3745.269	3739.023	3742.920	5019	0	160
2025.09.25	00:00:00	3742.990	3751.539	3741.378	3749.019	9530	0	160
2025.09.25	01:00:00	3748.987	3750.497	3732.852	3736.086	13518	0	160
2025.09.25	02:00:00	3735.979	3742.455	3729.422	3739.591	10747	0	160
2025.09.25	03:00:00	3739.550	3739.692	3734.341	3736.578	7445	0	160
2025.09.25	04:00:00	3736.581	3740.726	3731.730	3738.097	6274	0	160
2025.09.25	05:00:00	3738.067	3741.316	3734.108	3738.719	8163	0	160
2025.09.25	06:00:00	3738.768	3748.362	3737.712	3741.037	10328	0	160
2025.09.25	07:00:00	3741.074	3755.001	3740.002	3752.214	11831	0	160
2025.09.25	08:00:00	3752.173	3761.648	3751.129	3756.374	13553	0	160
2025.09.25	09:00:00	3756.396	3761.302	3750.386	3756.971	10314	0	160
2025.09.25	10:00:00	3756.982	3760.911	3755.584	3757.179	7867	0	160
2025.09.25	11:00:00	3757.221	3757.649	3741.100	3753.056	14149	0	160
2025.09.25	12:00:00	3753.018	3755.951	3730.542	3738.812	25380	0	160
2025.09.25	13:00:00	3738.836	3745.555	3721.931	3733.715	33779	0	160
2025.09.25	14:00:00	3733.768	3736.413	3723.567	3731.539	22988	0	160
2025.09.25	15:00:00	3731.561	3738.799	3727.916	3735.828	14656	0	160
2025.09.25	16:00:00	3735.920	3742.723	3732.664	3733.748	10427	0	160
2025.09.25	17:00:00	3733.713	3744.210	3732.355	3741.826	12222	0	160
2025.09.25	18:00:00	3741.864	3758.296	3736.518	3755.190	12342	0	160
2025.09.25	19:00:00	3755.165	3756.724	3744.647	3746.523	10482	0	160
2025.09.25	20:00:00	3746.560	3752.498	3745.975	3749.696	4674	0	160
2025.09.25	22:00:00	3748.251	3751.594	3746.311	3748.845	4760	0	160
2025.09.25	23:00:00	3748.786	3749.940	3738.051	3744.717	8553	0	160
2025.09.26	00:00:00	3744.676	3749.597	3740.194	3749.534	10918	0	160
2025.09.26	01:00:00	3749.639	3753.344	3737.715	3738.969	14050	0	160
2025.09.26	02:00:00	3739.017	3742.852	3737.603	3738.419	8221	0	160
2025.09.26	03:00:00	3738.455	3746.092	3734.464	3745.435	6875	0	160
2025.09.26	04:00:00	3745.474	3747.768	3744.648	3747.724	5118	0	160
2025.09.26	05:00:00	3747.609	3749.701	3741.920	3742.110	6023	0	160
2025.09.26	06:00:00	3742.061	3754.165	3741.492	3743.660	12734	0	160
2025.09.26	07:00:00	3743.608	3749.561	3739.207	3747.971	10348	0	160
2025.09.26	08:00:00	3747.991	3755.206	3747.025	3752.956	7994	0	160
2025.09.26	09:00:00	3752.914	3754.455	3747.225	3751.509	6892	0	160
2025.09.26	10:00:00	3751.527	3755.015	3742.903	3744.650	7366	0	160
2025.09.26	11:00:00	3744.646	3752.920	3744.416	3748.706	7529	0	160
2025.09.26	12:00:00	3748.662	3757.458	3746.530	3752.048	15810	0	160
2025.09.26	13:00:00	3752.092	3766.361	3751.304	3761.906	27116	0	160
2025.09.26	14:00:00	3761.846	3783.850	3761.571	3778.842	25337	0	160
2025.09.26	15:00:00	3778.835	3780.927	3772.974	3780.373	13764	0	160
2025.09.26	16:00:00	3780.332	3781.275	3771.419	3774.202	12469	0	160
2025.09.26	17:00:00	3774.193	3783.128	3774.032	3782.873	9330	0	160
2025.09.26	18:00:00	3782.908	3783.204	3774.610	3778.558	8603	0	160
2025.09.26	19:00:00	3778.550	3778.550	3764.617	3766.731	11793	0	160
2025.09.26	20:00:00	3766.762	3769.530	3760.050	3761.041	6541	0	160
2025.09.28	22:00:00	3764.718	3770.994	3763.347	3770.583	6585	0	160
2025.09.28	23:00:00	3770.487	3772.495	3766.297	3766.899	6310	0	160
2025.09.29	00:00:00	3766.858	3787.481	3763.935	3787.103	12812	0	160
2025.09.29	01:00:00	3787.066	3788.780	3767.846	3778.557	31581	0	160
2025.09.29	02:00:00	3778.531	3798.870	3777.583	3792.789	18212	0	160
2025.09.29	03:00:00	3792.825	3799.436	3792.144	3794.340	11773	0	160
2025.09.29	04:00:00	3794.355	3808.838	3792.447	3805.003	10638	0	160
2025.09.29	05:00:00	3804.974	3814.491	3801.306	3813.565	16850	0	160
2025.09.29	06:00:00	3813.682	3819.874	3810.953	3817.400	18770	0	160
2025.09.29	07:00:00	3817.360	3819.347	3805.007	3806.343	15153	0	160
2025.09.29	08:00:00	3806.381	3819.549	3806.381	3818.762	12264	0	160
2025.09.29	09:00:00	3818.753	3819.751	3806.908	3807.605	9310	0	160
